frontend,checkout,recommendation,productcatalog,cart,payment,shipping,email,currency,ad
1472164.9263214539,145652.41649122396,1208416.5300261066,12540502.312999062,1408262.168483388,147979.3982904026,723149.7075156551,149340.32348526237,1671103.22421261,1544314.3552361254
567365.458597142,53264.71691593938,452114.9203151226,4822321.28872731,523244.91959159716,50683.36478744018,269670.8310202794,56228.51853573683,608637.261499983,594724.2941547467
942327.7525508731,95318.47827137564,723203.6710516879,8288618.667369444,870850.0356338216,102553.41484544218,449187.45519634994,89154.36908425008,1056625.1252902339,984702.3762817525
617926.7852079037,57874.26861425118,516491.7368306208,5417691.40651873,556970.0960327125,57201.647820271544,294995.46894958505,61123.12989549408,677289.9862638563,652950.697491063
365048.240054378,36169.399517007754,306618.08122212556,3032861.8144107508,337703.3028908773,33403.19628048156,177286.59689469455,35964.75102363178,411592.2816056715,351604.80836620426
397340.56259530544,42736.27714454901,317753.05414554174,3496670.774020334,359722.0996137107,45978.360124006795,205047.14518381906,40302.036446700215,440168.3867349701,388749.83641331346
403951.45665078127,40581.6134130312,318883.37329593586,3489385.181045895,338340.78320028307,41173.43829519124,197155.29064917937,42822.173254771486,422181.29595907254,412772.2634020233
322129.30147848744,29910.635873527222,256295.35936167088,2810166.539225246,286069.2833917715,32274.581731532195,147969.46881778352,28399.717167637136,342194.6932723695,327127.0249777915
215761.90400017044,22490.20472005657,178313.28975617295,1883521.270267791,208257.23673122303,19981.194853732988,123318.6514999948,21749.471540766936,226787.05868242282,215337.89924457378
184733.62688624026,17633.3823203725,159001.26644848,1603486.927821747,176893.42821183655,16246.04643515854,92448.45775282351,18867.145738952324,212109.80602575713,195438.2256845419
307252.93451063015,28653.485157969564,244690.47409254525,2631200.9502005195,252669.46367614993,26424.53693601183,139382.3646791176,28077.520066164816,323349.40802032937,307328.97727585025
219401.67662472808,22847.462412381417,174063.94182050452,1902155.4269582918,203265.55492937108,22322.52939773195,109001.38550873785,24347.05839931931,254418.54328069178,214814.1066105417
346128.62631808396,35486.10723371005,273014.09448011883,2901954.7311526984,329829.2400865821,36254.174258431245,168334.9028826819,36028.009082157834,379348.4230991727,339783.90252195386
463438.39470272156,45879.53094695071,360561.92383080535,3895662.947277073,403208.30473427323,42568.115187676856,237810.35065726095,47072.66293389002,525826.3071393223,459653.9543017825
